Pesquisador,ISSN,Ano
ALAN PEDRO DA SILVA,0268-4012,2018
ALAN PEDRO DA SILVA,2352-3409,2017
ALAN PEDRO DA SILVA,0360-1315,2017
ALAN PEDRO DA SILVA,0747-5632,2016
ALAN PEDRO DA SILVA,0747-5632,2016
ALAN PEDRO DA SILVA,0947-3602,2015
ALAN PEDRO DA SILVA,0957-4174,2015
ALEJANDRO CÉSAR FRERY ORGAMBIDE,2072-4292,2019
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1545-598X,2018
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1548-0992,2018
ALEJANDRO CÉSAR FRERY ORGAMBIDE,0001-706X,2018
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1054-1500,2018
ALEJANDRO CÉSAR FRERY ORGAMBIDE,0098-3004,2018
ALEJANDRO CÉSAR FRERY ORGAMBIDE,0929-9629,2018
ALEJANDRO CÉSAR FRERY ORGAMBIDE,0378-4371,2017
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1939-1404,2017
ALEJANDRO CÉSAR FRERY ORGAMBIDE,0925-2312,2017
ALEJANDRO CÉSAR FRERY ORGAMBIDE,2072-4292,2017
ALEJANDRO CÉSAR FRERY ORGAMBIDE,2083-4535,2017
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1389-1286,2016
ALEJANDRO CÉSAR FRERY ORGAMBIDE,0375-9601,2016
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1932-6203,2016
ALEJANDRO CÉSAR FRERY ORGAMBIDE,0361-9286,2016
ALEJANDRO CÉSAR FRERY ORGAMBIDE,0264-4401,2015
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1939-1404,2015
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1939-1404,2015
ALEJANDRO CÉSAR FRERY ORGAMBIDE,0950-7051,2015
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1434-6028,2015
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1939-1404,2015
ALEJANDRO CÉSAR FRERY ORGAMBIDE,1364-503X,2015
ANDRE LUIZ LINS DE AQUINO,0167-739X,2019
ANDRE LUIZ LINS DE AQUINO,1845-6421,2018
ANDRE LUIZ LINS DE AQUINO,0167-739X,2018
ANDRE LUIZ LINS DE AQUINO,2090-4886,2018
ANDRE LUIZ LINS DE AQUINO,0038-0644,2018
ANDRE LUIZ LINS DE AQUINO,1389-1286,2018
ANDRE LUIZ LINS DE AQUINO,1532-0626,2018
ANDRE LUIZ LINS DE AQUINO,0378-4371,2017
ANDRE LUIZ LINS DE AQUINO,1845-6421,2017
ANDRE LUIZ LINS DE AQUINO,0166-5316,2015
ANDRE LUIZ LINS DE AQUINO,1383-469X,2015
ANDRE LUIZ LINS DE AQUINO,0140-3664,2015
ANDRE LUIZ LINS DE AQUINO,1434-6028,2015
ARTURO HERNANDEZ DOMINGUEZ,1414-5685,2018
ARTURO HERNANDEZ DOMINGUEZ,1679-1916,2016
ARTURO HERNANDEZ DOMINGUEZ,1679-1916,2016
ARTURO HERNANDEZ DOMINGUEZ,1414-5685,2015
AYDANO PAMPONET MACHADO,1081-597X,2018
AYDANO PAMPONET MACHADO,0002-9394,2018
AYDANO PAMPONET MACHADO,1081-597X,2017
AYDANO PAMPONET MACHADO,1472-6947,2016
AYDANO PAMPONET MACHADO,2316-6738,2015
AYDANO PAMPONET MACHADO,2316-6738,2015
BALDOINO FONSECA DOS SANTOS NETO,0950-5849,2018
BALDOINO FONSECA DOS SANTOS NETO,0098-5589,2017
BALDOINO FONSECA DOS SANTOS NETO,0747-5632,2017
BALDOINO FONSECA DOS SANTOS NETO,0950-5849,2016
BALDOINO FONSECA DOS SANTOS NETO,0957-4174,2015
BRUNO COSTA E SILVA NOGUEIRA,0254-5330,2019
BRUNO COSTA E SILVA NOGUEIRA,0920-8542,2018
BRUNO COSTA E SILVA NOGUEIRA,2175-2745,2018
BRUNO COSTA E SILVA NOGUEIRA,1862-4472,2018
BRUNO COSTA E SILVA NOGUEIRA,0010-485X,2018
BRUNO COSTA E SILVA NOGUEIRA,1532-0626,2018
BRUNO COSTA E SILVA NOGUEIRA,1570-7873,2018
BRUNO COSTA E SILVA NOGUEIRA,1368-2148,2017
BRUNO COSTA E SILVA NOGUEIRA,1432-7643,2017
BRUNO COSTA E SILVA NOGUEIRA,0305-0548,2017
BRUNO COSTA E SILVA NOGUEIRA,0010-485X,2017
BRUNO COSTA E SILVA NOGUEIRA,1751-8806,2015
BRUNO COSTA E SILVA NOGUEIRA,2053-2474,2015
ELIANA SILVA DE ALMEIDA,0026-1270,2018
ELIANA SILVA DE ALMEIDA,1983-1358,2017
ELIANA SILVA DE ALMEIDA,2237-9363,2016
ELIANA SILVA DE ALMEIDA,1434-6028,2015
ERICK DE ANDRADE BARBOZA,1041-1135,2018
ERICK DE ANDRADE BARBOZA,1387-947X,2017
EVANDRO DE BARROS COSTA,0747-5632,2017
EVANDRO DE BARROS COSTA,0950-5849,2017
EVANDRO DE BARROS COSTA,1414-5685,2017
EVANDRO DE BARROS COSTA,2010-3689,2016
EVANDRO DE BARROS COSTA,2010-3689,2016
EVANDRO DE BARROS COSTA,0957-4174,2015
EVANDRO DE BARROS COSTA,2318-8839,2015
FABIO PARAGUACU DUARTE DA COSTA,1982-1654,2018
FABIO PARAGUACU DUARTE DA COSTA,1679-1916,2017
FABIO PARAGUACU DUARTE DA COSTA,1414-5685,2015
HEITOR JUDISS SAVINO,1573-0409,2018
HEITOR JUDISS SAVINO,1573-0409,2017
HEITOR JUDISS SAVINO,1573-7721,2017
HEITOR JUDISS SAVINO,0278-0046,2016
IG IBERT BITTENCOURT SANTANA PINTO,2317-6121,2018
IG IBERT BITTENCOURT SANTANA PINTO,0360-1315,2018
IG IBERT BITTENCOURT SANTANA PINTO,0268-4012,2018
IG IBERT BITTENCOURT SANTANA PINTO,1939-1382,2018
IG IBERT BITTENCOURT SANTANA PINTO,2317-6121,2018
IG IBERT BITTENCOURT SANTANA PINTO,0167-6423,2017
IG IBERT BITTENCOURT SANTANA PINTO,2317-6121,2017
IG IBERT BITTENCOURT SANTANA PINTO,1741-1009,2017
IG IBERT BITTENCOURT SANTANA PINTO,1468-4527,2017
IG IBERT BITTENCOURT SANTANA PINTO,0952-1976,2017
IG IBERT BITTENCOURT SANTANA PINTO,2352-3409,2017
IG IBERT BITTENCOURT SANTANA PINTO,1552-6283,2017
IG IBERT BITTENCOURT SANTANA PINTO,0360-1315,2018
IG IBERT BITTENCOURT SANTANA PINTO,1560-4292,2017
IG IBERT BITTENCOURT SANTANA PINTO,1436-4522,2016
IG IBERT BITTENCOURT SANTANA PINTO,0747-5632,2016
IG IBERT BITTENCOURT SANTANA PINTO,1826-9745,2016
IG IBERT BITTENCOURT SANTANA PINTO,0747-5632,2016
IG IBERT BITTENCOURT SANTANA PINTO,0747-5632,2016
IG IBERT BITTENCOURT SANTANA PINTO,0747-5632,2016
IG IBERT BITTENCOURT SANTANA PINTO,1414-5685,2016
IG IBERT BITTENCOURT SANTANA PINTO,1414-5685,2016
IG IBERT BITTENCOURT SANTANA PINTO,1741-1009,2016
IG IBERT BITTENCOURT SANTANA PINTO,1615-5297,2016
IG IBERT BITTENCOURT SANTANA PINTO,1432-010X,2016
IG IBERT BITTENCOURT SANTANA PINTO,0957-4174,2015
IG IBERT BITTENCOURT SANTANA PINTO,1548-0992,2015
IG IBERT BITTENCOURT SANTANA PINTO,1548-0992,2015
IG IBERT BITTENCOURT SANTANA PINTO,1414-5685,2015
IG IBERT BITTENCOURT SANTANA PINTO,1414-5685,2015
LEANDRO DIAS DA SILVA,1619-1366,2018
LEANDRO DIAS DA SILVA,1472-6947,2018
LEANDRO DIAS DA SILVA,1619-1366,2017
LEANDRO MELO DE SALES,0020-0255,2016
MARCELO COSTA OLIVEIRA,2175-4411,2017
MARCELO COSTA OLIVEIRA,0897-1889,2017
MARCELO COSTA OLIVEIRA,1861-6429,2017
MARCELO COSTA OLIVEIRA,1472-6947,2016
MARCELO COSTA OLIVEIRA,0897-1889,2016
MARCELO COSTA OLIVEIRA,0920-8542,2016
MARCIO DE MEDEIROS RIBEIRO,1049-331X,2018
MARCIO DE MEDEIROS RIBEIRO,1477-8424,2018
MARCIO DE MEDEIROS RIBEIRO,0098-5589,2018
MARCIO DE MEDEIROS RIBEIRO,0098-5589,2018
MARCIO DE MEDEIROS RIBEIRO,1382-3256,2018
MARCIO DE MEDEIROS RIBEIRO,0950-5849,2017
MARCIO DE MEDEIROS RIBEIRO,0950-5849,2016
MARCIO DE MEDEIROS RIBEIRO,0362-1340,2016
MARCIO DE MEDEIROS RIBEIRO,0957-4174,2015
MARCIO DE MEDEIROS RIBEIRO,0163-5948,2015
MARCIO DE MEDEIROS RIBEIRO,0010-4620,2015
MARCIO DE MEDEIROS RIBEIRO,2509-8195,2015
MARCIO DE MEDEIROS RIBEIRO,0957-4174,2015
RAFAEL DE AMORIM SILVA,1552-6283,2017
RAFAEL DE AMORIM SILVA,1548-0992,2015
RAFAEL DE AMORIM SILVA,1414-5685,2015
RANILSON OSCAR ARAÚJO PAIVA,1560-4306,2017
RANILSON OSCAR ARAÚJO PAIVA,1414-5685,2016
RANILSON OSCAR ARAÚJO PAIVA,0747-5632,2016
RANILSON OSCAR ARAÚJO PAIVA,1548-0992,2015
RIAN GABRIEL SANTOS PINHEIRO,1862-4472,2018
RIAN GABRIEL SANTOS PINHEIRO,1862-4472,2018
RIAN GABRIEL SANTOS PINHEIRO,0305-0548,2018
RIAN GABRIEL SANTOS PINHEIRO,1573-2886,2016
RIAN GABRIEL SANTOS PINHEIRO,0377-2217,2016
RIAN GABRIEL SANTOS PINHEIRO,0957-4174,2015
THIAGO DAMASCENO CORDEIRO,1742-6596,2018
THIAGO DAMASCENO CORDEIRO,1619-1366,2017
TIAGO FIGUEIREDO VIEIRA,0218-0014,2015
XU YANG,1572-817X,2017
XU YANG,1934-2608,2017
XU YANG,1930-8337,2017